Unnamed: 0_level_0,Name,AR or VR?,Standalone,Release Date,Retail Price,Display Type,Visible FoV,Resolution,Refresh Rate,IPD Range,Base Stations
Unnamed: 0_level_1,Unnamed: 1_level_1,-VRAR,-YesNo,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,-YesNo
Add to comparison,3Glasses Blubur S1,VR,,2016,$530 (discontinued),Single LCD binocular,110° horizontal110° vertical,1440x1440 per-eye,120 Hz,60-63 mm,
Add to comparison,3Glasses Blubur S2,VR,,2018,$549 (discontinued),Single LCD binocular,90° horizontal90° vertical,1440x1440 per-eye,90 Hz,60-63 mm (manual),
Add to comparison,3Glasses D2,VR,,2015,$400 (discontinued),Single TFT-LCD binocular,,1280x1440 per-eye,60 Hz,,
Add to comparison,3Glasses X1,VR,,2019,$550,2 x LCD binocular,105° horizontal88.6° vertical,1200x1200 per-eye,90 Hz,59-71 mm,
Add to comparison,ANTVR Cyclop,VR,,2017,$450 (discontinued),2 x OLED binocular,110° horizontal110° vertical,1080x1200 per-eye,90 Hz,,
Add to comparison,Acer AH101,VR,,2017,$399 (discontinued),Single LCD binocular,97° horizontal96° vertical,1440x1440 per-eye,90 Hz,60-63 mm software adjustable (manual),
Add to comparison,Acer OJO 500,VR,,2019,$399,2 x LCD binocular,95° horizontal93° vertical,1440x1440 per-eye,90 Hz,60-69 mm hardware adjustable,
Add to comparison,AjnaLens AjnaXR,VR,,2023,,2 x LCD binocular,108° diagonal,1600x1600 per-eye,90 Hz,60-68 mm hardware adjustable (manual),
Add to comparison,AjnaXR Enterprise Edition,VR,,2023,,2 x LCD binocular,108° diagonal,2280x2280 per-eye,90 Hz,60-68 mm hardware adjustable (manual),
Add to comparison,Apple Vision Pro,VR,,2024,$3499,2 x Micro-OLED binocular,,3660x3200 per-eye,100 Hz,51-75 mm hardware adjustable (automatic),
Add to comparison,Arpara VR,VR,,2021,$599,2 x Micro-OLED,95° horizontal90° vertical,2560x2560 per-eye,120 Hz,56-72 mm hardware adjustable,
Add to comparison,Arpara VR All In One,VR,,Unreleased,,2 x Micro-OLED binocular,95° horizontal90° vertical,2560x2560 per-eye,90 Hz,56-72 mm hardware adjustable (manual),
Add to comparison,Asus HC102,VR,,2018,$429 (discontinued),Single LCD binocular,96° horizontal96° vertical,1440x1440 per-eye,90 Hz,60-63 mm (manual),
Add to comparison,Bigscreen Beyond,VR,,2023,$999,2 x Micro-OLED binocular,102° horizontal90° vertical,2560x2560 per-eye,90 Hz,55-72 mm,
,,,,,,,,,,,
Add to comparison,Canon MREAL S1,VR,,2021,$38500,Single Micro LED binocular,45° horizontal34° vertical,1600x1200 per-eye,120 Hz,57-76 mm hardware adjustable,
Add to comparison,Canon MREAL X1,VR,,2022,,,58° horizontal60° vertical,1920x2160 per-eye,120 Hz,57-76 mm,
Add to comparison,Carl Zeiss Cinemizer OLED,VR,,2012,$799 (discontinued),2 x OLED binocular,30° horizontal,870x500 per-eye,60 Hz,59-69 mm hardware adjustable (manual),
Add to comparison,ClassVR,VR,,2017,,Single LCD binocular,,1280x1440 per-eye,70 Hz,,
Add to comparison,ClassVR Premium,VR,,2020,,Single LCD binocular,,1280x1440 per-eye,,,
Add to comparison,DPVR E3 4K,VR,,2019,$399,Single LCD binocular,,1920x2160 per-eye,72 Hz,54-74 mm,
Add to comparison,DPVR E3B,VR,,2017,$250 (discontinued),Single AMOLED binocular,110° horizontal60° vertical,1280x1440 per-eye,72 Hz,54-74 mm software adjustable (manual),
Add to comparison,DPVR E3C,VR,,2017,$250,Single LCD binocular,110° horizontal60° vertical,1280x1440 per-eye,72 Hz,54-74 mm software adjustable (manual),
Add to comparison,DPVR E4,VR,,2023,$549,Single LCD binocular,95° horizontal95° vertical115° diagonal,1832x1920 per-eye,120 Hz,54-74 mm software adjustable,
Add to comparison,DPVR E4C,VR,,2023,$398,Single LCD binocular,95° horizontal95° vertical115° diagonal,1832x1920 per-eye,120 Hz,,
Add to comparison,DPVR M2 Pro,VR,,2016,$495 (discontinued),Single AMOLED,96° horizontal60° vertical,1325x1440 per-eye,72 Hz,,
Add to comparison,DPVR P1,VR,,2018,$199,Single LCD binocular,100° diagonal,1280x1440 per-eye,72 Hz,,
Add to comparison,DPVR P1 Pro,VR,,2018,$299,Single LCD binocular,100° diagonal,1280x1440 per-eye,72 Hz,,
Add to comparison,DPVR P1 Pro 4K,VR,,2019,$349,Single LCD binocular,100° diagonal,1920x2160 per-eye,72 Hz,54-74 mm,
Add to comparison,DPVR P1 Pro Light,VR,,2021,$399,Single LCD binocular,,1280x1440 per-eye,90 Hz,,
,,,,,,,,,,,
Add to comparison,DPVR P1 Ultra 4K,VR,,2021,$599,Single LCD binocular,90° diagonal,1920x2160 per-eye,90 Hz,,
Add to comparison,DPVR P2,VR,,Unreleased,$398,Single LCD binocular,,1832x1920 per-eye,90 Hz,58-70 mm hardware adjustable (manual),
